YEAR,state,flfp,college_share,married_share,mean_age,n_observations,sum_weights,flfp_pct,college_pct,married_pct,nchild_mean,has_child_pct,yngch_mean,famsize_mean,pct_head,pct_private,pct_govt,pct_selfempl,occ_era,treated
1995,Alabama,0.7186137655803939,0.2003776045764608,0.6583002912358058,38.61566701077236,4564,11140558.9398,71.8613765580394,20.03776045764608,65.83002912358057,1.2985847448117103,69.45280583865306,9.856588357154545,3.275862076068795,32.98370085788503,52.82050821236122,8.315060847536166,4.902937717502045,1950-basis,0
1995,Alaska,0.7472503908924539,0.25968285341149877,0.7343382963561598,38.37061130205874,4500,1772374.9028999999,74.7250390892454,25.968285341149876,73.43382963561598,1.429367515052732,67.68734655614153,8.170409880360328,3.334966605049867,31.39716466812311,40.34274086876657,13.30709401910929,10.093425951094808,1950-basis,0
1995,Arizona,0.7663221826336353,0.2045224835550368,0.651415391116534,38.604958669467884,4458,10765371.0992,76.63221826336353,20.45224835550368,65.1415391116534,1.2602342748600823,61.736079974928955,8.967927964621277,3.163537812006391,35.57075095706237,56.25297971242277,6.093262520683066,7.310627090769635,1950-basis,0
1995,Arkansas,0.770168451117641,0.1755030601408671,0.7196305560067786,38.784505062418624,4241,6236418.462,77.0168451117641,17.55030601408671,71.96305560067786,1.225347839864053,66.14960218973197,9.982593803473659,3.168311172878443,30.235451225562738,53.96754521858447,9.801143903739536,6.603669413933565,1950-basis,0
1995,California,0.7140388934928442,0.25686949617934085,0.6357339432474775,38.264693952271216,28309,83922919.43239999,71.40388934928443,25.686949617934086,63.573394324747746,1.3250536676130964,63.97641515932732,8.75150882843774,3.3531536585601414,37.334700062762074,51.21120404482446,4.607328502691752,7.807330272486239,1950-basis,0
1995,Colorado,0.8094135759375352,0.35238574167908454,0.7086393320802815,38.16079364362628,4692,10261086.3949,80.94135759375351,35.23857416790845,70.86393320802816,1.1891865129568397,60.68411150007363,8.202909810753853,3.018556938609799,34.4333728829737,57.70971223907826,5.443110979726267,9.111396260776843,1950-basis,0
1995,Connecticut,0.7949433105549406,0.34241047182607925,0.6702981874749308,39.17714452578463,3311,8772801.3915,79.49433105549406,34.24104718260793,67.02981874749308,1.2644757873064405,64.29529909528216,9.832874702545746,3.163477895132741,37.54860054727366,62.82215312020949,4.687372258289429,4.68229828841213,1950-basis,0
1995,Delaware,0.7944317932388049,0.2754694526142601,0.6296899233593566,38.768552617786526,3269,1934666.3804000001,79.44317932388049,27.54694526142601,62.96899233593566,1.139385181823569,61.78492934026486,10.414359841435221,3.0509260939240743,42.138005511391995,61.493750517028424,10.077023965221947,5.8584971676907935,1950-basis,0
1995,District of Columbia,0.7885922217670928,0.4042588864202182,0.31348225513949457,38.35493984697999,3815,1648488.6957,78.85922217670928,40.42588864202182,31.34822551394946,0.9314161620307676,48.16018453574404,10.291150302086942,2.7118218387913933,62.41441697985676,47.268764203998295,22.549909730630613,3.8795341616123884,1950-basis,0
1995,Florida,0.7553524288123941,0.21694361300429396,0.633656679767348,38.8601312339831,14840,36340713.840900004,75.53524288123941,21.694361300429396,63.3656679767348,1.1368906788011734,60.99812951349283,9.956642474265408,3.0693355039978374,39.92440677808292,55.62014838864104,5.200970797037021,6.7844751792551445,1950-basis,0
1995,Georgia,0.7616718629492119,0.23492757067171713,0.6306977484994994,38.38919910720864,8873,19910535.9968,76.16718629492118,23.492757067171713,63.069774849949944,1.2134337335611147,64.40798514093771,9.960102462851435,3.1738027181616886,37.65083267775828,56.54197010974161,7.044247953070755,5.072515584524296,1950-basis,0
1995,Hawaii,0.7805193281723545,0.29130214385573633,0.653034207915826,38.55333548226773,3514,3105291.3203000003,78.05193281723545,29.130214385573634,65.3034207915826,1.2807188723651808,62.83668909078358,9.048843381963476,3.573791883728275,31.939046594964328,53.24019477310359,16.823014329925442,7.018227883332548,1950-basis,0
1995,Idaho,0.7867377428701193,0.20331308985799146,0.7687561880575484,38.86622111880821,4425,2835172.4047999997,78.67377428701194,20.331308985799147,76.87561880575484,1.4779046759223733,68.07775024659058,9.166742248709882,3.4120443814711896,24.153527970314283,48.568662966269855,8.304492612208852,12.265112033796417,1950-basis,0
1995,Illinois,0.7660446396252852,0.2715122473858716,0.6295886166841711,38.248817615726985,15494,31160504.110799998,76.60446396252853,27.15122473858716,62.95886166841711,1.3171480885341262,64.58783746609707,9.644977922507548,3.246642889969686,34.00303281623635,59.393217696004896,4.451547827235673,6.102857622386447,1950-basis,0
1995,Indiana,0.7980567267281892,0.19518053845177832,0.6672571325975231,38.493548160683616,4365,15806084.3349,79.80567267281891,19.518053845177832,66.72571325975231,1.3218347081805688,66.03237489537305,9.809084030029386,3.2103075913596304,33.650333539319625,60.57721123794432,4.906432660792876,8.013003091495987,1950-basis,0
1995,Iowa,0.8582702205658911,0.2427820980290888,0.7258614724688202,38.88317339135355,4062,6811966.2089,85.82702205658912,24.27820980290888,72.58614724688202,1.3695084962417126,67.54875268154092,9.295477846792863,3.2217474556503887,28.692364155394362,59.63298798800065,9.340126380379408,9.074471465997174,1950-basis,0
1995,Kansas,0.8175729625530828,0.28811486429732236,0.7056636536133609,38.50803463369247,4167,6184171.351400001,81.75729625530828,28.811486429732234,70.5663653613361,1.3633951453805118,68.05377910732126,9.274199790069968,3.2221474111141815,31.024631833101697,56.300573712463375,8.815676377993316,8.356792155880429,1950-basis,0
1995,Kentucky,0.7074700019345059,0.18949344631415377,0.7140774404067084,38.75038199602207,4540,10711379.0159,70.74700019345059,18.94934463141538,71.40774404067083,1.28148465983926,67.63247595147587,9.901726376076182,3.201436024194192,30.487145695736682,51.45143209309671,6.834660523292929,5.804386868181047,1950-basis,0
1995,Louisiana,0.7035091647973724,0.18875767648255792,0.6171153703253326,38.30196915564062,4308,10967522.0864,70.35091647973724,18.875767648255792,61.71153703253326,1.3762643462115471,68.39598311820912,9.774959305229848,3.3265523922255067,36.08175982072668,50.05809017889191,7.496120797599964,4.707506255585487,1950-basis,0
1995,Maine,0.793727198954693,0.23260568895259623,0.6990845278486786,39.22319121887575,3727,3362795.8814,79.3727198954693,23.260568895259624,69.90845278486786,1.179071718961812,63.24779652741013,10.092396507106587,3.0641684587201783,31.162104771096917,54.653486620033895,6.765273731252643,10.920709128711973,1950-basis,0
1995,Maryland,0.8132917255369916,0.3311398186361947,0.6183829511453107,38.60456704552336,4166,14489089.986399999,81.32917255369915,33.11398186361947,61.83829511453107,1.1422978354841644,63.685401058736026,9.839162292161648,3.044465575222788,37.50804244366688,53.285403352776584,15.072127231246471,5.988896763802903,1950-basis,0
1995,Massachusetts,0.789620948119611,0.3593429776485594,0.6244495559404888,38.6120111622312,15594,16773941.3124,78.96209481196111,35.93429776485594,62.44495559404888,1.1812994845017066,61.45457048594556,9.67001131456561,3.061431938964651,40.61635208812596,61.82750675676555,4.39030649079237,6.224083009210326,1950-basis,0
1995,Michigan,0.7546917257906495,0.23179005034401168,0.6551485801010122,38.72617713151064,16495,25042168.259099998,75.46917257906495,23.179005034401168,65.51485801010122,1.2857554085756782,64.89041424396217,9.838489107597292,3.1790385510596018,34.79219765298842,57.25295869134648,4.402550399362356,5.919776974828449,1950-basis,0
1995,Minnesota,0.8571333597264778,0.3056668569326607,0.6830055425061689,38.496817324088966,4447,12164917.3941,85.71333597264777,30.56668569326607,68.30055425061688,1.273775387543139,63.17653192061473,8.732748805162776,3.09297869104714,34.31609092820186,59.35380003897005,5.743563067176028,9.632447706289518,1950-basis,0
1995,Mississippi,0.7360334293381512,0.19186068966160408,0.626939214355882,38.42375062874604,4228,6939788.6296999995,73.60334293381511,19.18606896616041,62.693921435588194,1.413866499392815,71.19972843342349,10.158426498038637,3.3491017374407748,38.704815305248204,53.90944402670848,8.245835035248582,4.094860093920246,1950-basis,0
1995,Missouri,0.8233226673032521,0.2476589291113959,0.6650913936229416,38.15148137010952,3885,14045731.8102,82.33226673032522,24.765892911139588,66.50913936229415,1.2223005265010496,61.15323051207891,9.180599934636952,3.132364931569452,31.90776185649087,61.30244337747608,8.171182864722928,7.542598259854677,1950-basis,0
1995,Montana,0.8137557513487848,0.23116972222589952,0.7323854919961855,39.42665111899233,4620,2165417.8812000006,81.37557513487847,23.11697222258995,73.23854919961855,1.2954561681856307,66.7901370241996,9.669373034123547,3.1643219754899277,33.33170192074056,48.97253289108009,9.576850565447337,13.890706685829688,1950-basis,0
1995,Nebraska,0.8466547005995957,0.2601686526413244,0.7423089530578163,38.66663728344585,4434,4161590.5241,84.66547005995957,26.016865264132438,74.23089530578163,1.3553297528040187,65.18966001554675,8.944881296301205,3.2315601598281716,27.667700018348373,59.1950833589702,5.849041237728246,10.136607007755273,1950-basis,0
1995,Nevada,0.7680994906063048,0.16178357581415717,0.6444433982997809,38.71864570424271,3731,4098135.1541,76.80994906063047,16.178357581415717,64.44433982997809,1.1438293490663185,58.326407585865425,8.817785449846848,3.0472563373626778,34.5515404167036,58.67947901606274,5.6927898892401245,5.989363509752383,1950-basis,0
1995,New Hampshire,0.8279050880083859,0.28879950521242376,0.7074078519481776,38.55231573964217,3218,3143829.4627,82.7905088008386,28.879950521242375,70.74078519481776,1.163785233267004,61.44578068305792,9.04676600329513,3.0424800165163233,34.16099404697522,60.66125665614655,4.494812599619831,8.632681416724099,1950-basis,0
1995,New Jersey,0.7577450358915416,0.31978848772476004,0.6484780581251088,38.817200418958336,15924,21721314.2206,75.77450358915416,31.978848772476002,64.84780581251088,1.2733284667862974,65.3769347562421,9.665013502875185,3.2698527642374886,38.35004900854429,58.02870172535918,4.777698172681441,5.021903101818249,1950-basis,0
1995,New Mexico,0.7213872707025785,0.2243064183513045,0.6390172691901258,38.351108722121865,4461,4177852.2081000004,72.13872707025784,22.430641835130448,63.90172691901258,1.3622230767201369,64.85810036426119,9.178713269513128,3.3146981327034366,34.25118091362002,42.56413109712941,12.20091919507649,9.26119291749582,1950-basis,0
1995,New York,0.6973476286004469,0.28481568674500374,0.5887011491468611,38.66515710337931,26230,49595862.0132,69.73476286004468,28.481568674500373,58.87011491468611,1.2584326362991471,62.96942899931458,9.644576451691456,3.1660359137705547,44.60169349735786,51.276246382271836,4.218601254159358,4.95796383122759,1950-basis,0
1995,North Carolina,0.7731499787144249,0.22877498845469502,0.6542743662390619,38.796131741950234,15257,19571986.787299998,77.31499787144249,22.877498845469503,65.42743662390619,1.1375456884912079,62.88918696382385,10.239715712294283,3.055456262841149,38.94803891215787,57.88962327703994,7.4608008194013395,5.5376123542208635,1950-basis,0
1995,North Dakota,0.848764424924989,0.27371565953842086,0.7670761786907911,38.83289574280822,4202,1524973.1466,84.87644249249891,27.371565953842087,76.70761786907912,1.3925126263597118,69.23550985497727,9.332169709116906,3.2384764664288155,26.18609386600198,54.59624000962064,11.001776554168208,10.694438316085165,1950-basis,0
1995,Ohio,0.7553344006698576,0.2211317546108508,0.670788952207575,38.83268726395643,16233,29175105.2193,75.53344006698576,22.11317546108508,67.07889522075749,1.2762419976524548,65.3834650528732,9.96721292830432,3.1722273985999543,34.697868579762,57.37963913091812,4.486088945907844,6.4022963641768005,1950-basis,0
1995,Oklahoma,0.7144619222171831,0.1986100232702901,0.7195804585116594,39.04955460557548,4924,8298349.5,71.4461922217183,19.86100232702901,71.95804585116593,1.2893182382352057,66.63667409163713,9.86569852368351,3.181716156628496,33.6968670324141,48.37978833501771,8.654369176665792,7.982261103849628,1950-basis,0
