state,placebo_att
Alabama,-1.3361473393541647
Arizona,-0.9265045329057657
Arkansas,0.17446179718671856
Colorado,-0.09428914045129777
Connecticut,0.057193723541068664
Delaware,-0.42914756175081703
Florida,2.1999635537623634
Georgia,-0.5537350662093297
Idaho,-2.733895393079463
Illinois,0.5853369327655178
Indiana,-1.0562597133938516
Iowa,1.2447531416739899
Kansas,0.21557396053452826
Kentucky,-0.19887464718709635
Louisiana,2.643703978910275
Maine,-0.7532762423879271
Maryland,-0.04167511698501647
Massachusetts,-0.08939431901357042
Michigan,0.01209640027778247
Minnesota,-0.7418701550854317
Mississippi,0.7410958720313028
Missouri,-1.7860415328017987
Montana,1.679999875185631
Nebraska,0.1332226978064147
Nevada,-0.05865519213137338
New Hampshire,1.6819485243747225
New Mexico,-1.022439272572797
North Carolina,-0.6665430746681705
North Dakota,1.005967074263006
Ohio,1.6252599095858526
Oklahoma,-1.01282526928107
Oregon,0.058015401574860403
Pennsylvania,1.996300809826313
South Carolina,-1.5279564741115665
South Dakota,-1.7803295912156043
Tennessee,0.10019764013655197
Texas,-0.5502545847703308
Utah,-3.3364295676339593
Vermont,0.5192675019994053
Virginia,0.3950174894947891
West Virginia,0.7533529153831149
Wisconsin,0.6806495324038035
Wyoming,-1.509114666840553
