Year,lambda
1995,0.16004344877245757
1996,1.0026701691145945e-15
1997,0.0
1998,1.2836953722228372e-16
1999,0.0
2000,9.71445146547012e-17
2001,2.0469737016526324e-16
2002,3.469446951953614e-18
2003,0.8399565512275415
