state,placebo_att
Alabama,-1.2665760071304497
Arizona,-0.4891192306187888
Arkansas,-0.31277649298649146
Colorado,-0.14293076202899613
Connecticut,0.686117352677317
Delaware,-0.25498650164483416
Florida,2.362985707780515
Georgia,-0.7162695145518433
Idaho,-3.092960231699565
Illinois,0.9789513528510174
Indiana,-0.7690028439491505
Iowa,1.3949102113575207
Kansas,0.18741956299909956
Kentucky,0.08565867693131701
Louisiana,3.5335720261050088
Maine,-0.8568287168417608
Maryland,0.28734637651676864
Massachusetts,0.6932037590417857
Michigan,-0.07128499221957907
Minnesota,-0.5265714213131392
Mississippi,0.3045017774275939
Missouri,-2.0226929144470933
Montana,1.7156583957686942
Nebraska,0.10126075256784473
Nevada,0.18329280116468505
New Hampshire,1.8016441421436593
New Mexico,-1.0180554382544393
North Carolina,-0.6310243630713149
North Dakota,0.7240291112202256
Ohio,1.7051415590324537
Oklahoma,-0.990513258607471
Oregon,0.29913575888576194
Pennsylvania,2.2631439205542465
South Carolina,-1.5411483582650627
South Dakota,-1.760428476479273
Tennessee,0.04567163314996947
Texas,-0.512691230811744
Utah,-4.139831371794147
Vermont,0.6495073659125301
Virginia,0.8067431917199379
West Virginia,0.24907059353457828
Wisconsin,0.7337774023570187
Wyoming,-2.2245721535392713
