YEAR,state,flfp,college_share,married_share,mean_age,n_observations,sum_weights,flfp_pct,college_pct,married_pct,treated
2000,Alabama,0.7463202512130519,0.24319992326812748,0.6436843844012756,39.42135495538115,4738.0,11527761.419599999,74.63202512130519,24.31999232681275,64.36843844012756,0
2000,Alaska,0.7730590653874222,0.2917320374957639,0.6974657627572004,39.684721689027036,4312.0,1714911.6415,77.30590653874222,29.173203749576388,69.74657627572005,0
2000,Arizona,0.7336896092101869,0.2613001616684149,0.6292217622306908,39.03591701485592,5165.0,13050918.3344,73.36896092101868,26.13001616684149,62.92217622306908,0
2000,Arkansas,0.780669718715091,0.21678934281752832,0.6897990042640875,39.61202123962255,4055.0,6313745.0615,78.06697187150911,21.67893428175283,68.97990042640875,0
2000,California,0.7255586498663911,0.2883402718482468,0.6176353235616229,38.958384860043935,28421.0,90265223.1992,72.55586498663911,28.834027184824677,61.76353235616229,0
2000,Colorado,0.778383548476081,0.3556865630812126,0.6646676061902088,39.29597588234548,4930.0,11900729.3577,77.8383548476081,35.56865630812126,66.46676061902087,0
2000,Connecticut,0.8063137143424605,0.3703662020492105,0.6487367786640909,39.920919781108076,3510.0,9198609.653500002,80.63137143424605,37.03662020492105,64.87367786640908,0
2000,Delaware,0.8060103394554345,0.27835388054432014,0.6374389714159363,39.609630601603584,3437.0,2083254.7068000003,80.60103394554345,27.835388054432013,63.74389714159363,0
2000,District of Columbia,0.8437512762850365,0.44879072997118324,0.32386782007571707,38.79412910917677,3282.0,1597458.594,84.37512762850365,44.87907299711832,32.38678200757171,0
2000,Florida,0.7563650689840427,0.2585083389671345,0.6263746966509751,39.54013197373376,15581.0,41414604.5763,75.63650689840426,25.85083389671345,62.63746966509751,0
2000,Georgia,0.7789476785960572,0.25739330128785365,0.6060442504839217,38.59033737075463,5797.0,23331836.954,77.89476785960572,25.739330128785365,60.60442504839217,0
2000,Hawaii,0.8106062011982708,0.3048921621083855,0.6093159745736744,39.48519428950566,3372.0,3164708.2939999998,81.06062011982708,30.48921621083855,60.93159745736744,0
2000,Idaho,0.7769695346849373,0.21076024956715425,0.7063036112845953,39.62696127169333,4688.0,3130893.897,77.69695346849373,21.076024956715425,70.63036112845953,0
2000,Illinois,0.7860420751688282,0.29837161663912093,0.6358697852468324,39.303272846598546,13949.0,32844233.658299997,78.60420751688282,29.83716166391209,63.58697852468323,0
2000,Indiana,0.766476525340329,0.23477887923614052,0.7332327118379213,40.03850468385264,4256.0,15305543.6153,76.6476525340329,23.477887923614052,73.32327118379213,0
2000,Iowa,0.8419131187322959,0.2753330779340207,0.7194547046652415,39.49464667774568,4123.0,7393460.7744,84.1913118732296,27.533307793402066,71.94547046652416,0
2000,Kansas,0.8283234595313257,0.33417323140396193,0.700286864634359,39.822979554699614,4143.0,6616201.4507,82.83234595313257,33.41732314039619,70.02868646343589,0
2000,Kentucky,0.745981637039852,0.22819991889203772,0.6838432791894566,39.91648535737477,4347.0,10605260.885499999,74.5981637039852,22.819991889203774,68.38432791894566,0
2000,Louisiana,0.700044288480408,0.24299941599535835,0.6143308966892651,39.194746827029924,4333.0,11522511.842799999,70.0044288480408,24.299941599535835,61.43308966892651,0
2000,Maine,0.8122567184298313,0.25786762302271143,0.7053207227403927,40.148958520817025,3644.0,3466980.9479,81.22567184298313,25.786762302271143,70.53207227403927,0
2000,Maryland,0.8343565423230423,0.3595280056552709,0.6084290865985224,39.53053520077838,3785.0,13966993.7524,83.43565423230423,35.952800565527085,60.842908659852235,0
2000,Massachusetts,0.7975702160032182,0.3816415060687893,0.6124844336981449,39.41907704835548,7580.0,16917117.6592,79.75702160032182,38.164150606878934,61.24844336981449,0
2000,Michigan,0.7616076361294447,0.2611368584326778,0.6687902629631207,39.80373366215708,11602.0,26466661.198200002,76.16076361294446,26.11368584326778,66.87902629631208,0
2000,Minnesota,0.8421203579382808,0.3324425868840741,0.7084598761625013,39.62923426791831,4790.0,13065377.9307,84.21203579382808,33.244258688407406,70.84598761625013,0
2000,Mississippi,0.7648857329427053,0.22174441266155676,0.6487987684981479,38.94352509905211,3763.0,7201472.173900001,76.48857329427054,22.174441266155675,64.87987684981479,0
2000,Missouri,0.8238479282828252,0.2916722123616199,0.6515911804983663,39.3354681061116,3945.0,14485198.4006,82.38479282828251,29.16722123616199,65.15911804983662,0
2000,Montana,0.8224793747767589,0.2783184858272687,0.6880537568790963,40.33968178161135,4385.0,2249199.4854,82.24793747767589,27.83184858272687,68.80537568790963,0
2000,Nebraska,0.8554651830013431,0.2776435023176194,0.7063653093326291,39.82835119978507,4265.0,4157433.7345000003,85.54651830013431,27.76435023176194,70.6365309332629,0
2000,Nevada,0.7539274117182273,0.2148093160137528,0.6385248272378639,39.1889788381702,4746.0,5374886.2774,75.39274117182273,21.480931601375282,63.85248272378639,0
2000,New Hampshire,0.8166297166574248,0.31715715492100455,0.679628737192874,39.337332342046984,3597.0,3405846.2839,81.66297166574248,31.715715492100454,67.9628737192874,0
2000,New Jersey,0.7562134888155662,0.3525260482857642,0.6504549519159349,39.86072161716144,10176.0,22964148.3288,75.62134888155661,35.25260482857642,65.04549519159349,0
2000,New Mexico,0.7596534253445927,0.24596017416376806,0.6407946266168442,39.82618114255454,4376.0,4569536.2061,75.96534253445927,24.596017416376807,64.07946266168442,0
2000,New York,0.7340541707288795,0.31932139292685136,0.5896712485545681,39.36581180761593,20874.0,51067590.0845,73.40541707288794,31.932139292685136,58.96712485545681,0
2000,North Carolina,0.7899236542750634,0.2691506751618155,0.6633886080222718,39.51584588950559,8381.0,21204305.222599998,78.99236542750634,26.91506751618155,66.33886080222719,0
